H काल काल NP NNP NP k7t VGF में ; H चुना चुन VGF VM VGF NULL ROOT NULL ; R ; k7t 
H कहा कह VGF VM VGF NULL ROOT NULL ; H । । BLK SYM BLK rsym VGF NULL ; L ; rsym 
H कार्यक्रम कार्यक्रम NP NNP NP2 k1u VGF2 के  ;  H हल हल NP NN NP10 k1 VGF2 NULL  ;  U ;  NULL
H कार्यक्रम कार्यक्रम NP NNP NP2 k1u VGF2 के  ;  H शिक्षा शिक्षा NP NN NP3 k7 VGNF पर  ;  U ;  NULL
H शिक्षा शिक्षा NP NN NP3 k7 VGNF पर  ;  H व्यय व्यय NP NN NP4 k2 VGNF को  ;  U ;  NULL
H व्यय व्यय NP NN NP4 k2 VGNF को  ;  H तरीके तरीका NP NN NP5 adv VGNF से  ;  U ;  NULL
H बढ़ाकर बढ़ा VGNF VM VGNF vmod VGNN NULL  ;  H जीडीपी जीडीपी NP NNP NP6 r6 NP7 का  ;  U ;  NULL
H करने कर VGNN VM VGNN rh VGF2 से  ;  H हल हल NP NN NP10 k1 VGF2 NULL  ;  U ;  NULL
H करने कर VGNN VM VGNN rh VGF2 से  ;  H क्षेत्र क्षेत्र NP NN NP8 r6 NP9 की  ;  U ;  NULL
H मुश्किलों मुश्किल NP NN NP9 r6 NP10 का  ;  H निकल निकल VGF VM VGF2 ccof CCP NULL  ;  U ;  NULL
H क्षेत्र क्षेत्र NP NN NP8 r6 NP9 की  ;  H निकल निकल VGF VM VGF2 ccof CCP NULL  ;  U ;  NULL
H निकल निकल VGF VM VGF2 ccof CCP NULL  ;  H । । BLK SYM BLK rsym VGF NULL  ;  U ;  NULL
H हल हल NP NN NP10 k1 VGF2 NULL  ;  H । । BLK SYM BLK rsym VGF NULL  ;  U ;  NULL
H सर्वेक्षण सर्वेक्षण NP NN NP k7 VGF में  ;  H । । BLK SYM BLK rsym VGF NULL  ;  U ;  NULL
H कि कि CCP CC CCP k2 VGF NULL  ;  H । । BLK SYM BLK rsym VGF NULL  ;  U ;  NULL
ROOT  ;  H निकल निकल VGF VM VGF2 ccof CCP NULL  ;  U ;  NULL
ROOT  ;  H हल हल NP NN NP10 k1 VGF2 NULL  ;  U ;  NULL
ROOT  ;  H सर्वेक्षण सर्वेक्षण NP NN NP k7 VGF में  ;  U ;  NULL
ROOT  ;  H कि कि CCP CC CCP k2 VGF NULL  ;  U ;  NULL
H सर्वेक्षण सर्वेक्षण NP NN NP k7 VGF में ; H किया कर VGF VM VGF NULL ROOT NULL ; R ; k7 
H बात बात NP NN NP2 r6 NP3 का ; H खुलासा खुलासा NP NN NP3 pof VGF NULL ; R ; r6 
H खुलासा खुलासा NP NN NP3 pof VGF NULL ; H किया कर VGF VM VGF NULL ROOT NULL ; R ; pof 
ROOT ; H किया कर VGF VM VGF NULL ROOT NULL ; L ; ROOT 
H किया कर VGF VM VGF NULL ROOT NULL ; H कि कि CCP CC CCP k2 VGF NULL ; L ; k2 
H ०४ ०४ NP NNP NP4 k7t VGF2 के ; H की कर VGF VM VGF2 ccof CCP NULL ; R ; k7t 
H क्षेत्र क्षेत्र NP NN NP5 r6 NP6 की ; H योजनाओं योजना NP NN NP6 rt VGF2 के ; R ; r6 
H योजनाओं योजना NP NN NP6 rt VGF2 के ; H की कर VGF VM VGF2 ccof CCP NULL ; R ; rt 
H आबंटित आबंटित JJP JJ JJP nmod NP7 NULL ; H रकम रकम NP NN NP7 k7 VGF2 में ; R ; nmod 
H रकम रकम NP NN NP7 k7 VGF2 में ; H की कर VGF VM VGF2 ccof CCP NULL ; R ; k7 
H ०३ ०३ NP NNP NP8 k2u VGF2 के ; H की कर VGF VM VGF2 ccof CCP NULL ; R ; k2u 
H वृद्धि वृद्धि NP NN NP9 pof VGF2 NULL ; H की कर VGF VM VGF2 ccof CCP NULL ; R ; pof 
H कि कि CCP CC CCP k2 VGF NULL ; H की कर VGF VM VGF2 ccof CCP NULL ; L ; ccof 
H किया कर VGF VM VGF NULL ROOT NULL ; H । । BLK SYM BLK rsym VGF NULL ; L ; rsym 
H सर्वेक्षण सर्वेक्षण NP NN NP k7 VGF में  ;  H बात बात NP NN NP2 r6 NP3 का  ;  U ;  NULL
H बात बात NP NN NP2 r6 NP3 का  ;  H किया कर VGF VM VGF NULL ROOT NULL  ;  U ;  NULL
H ०४ ०४ NP NNP NP4 k7t VGF2 के  ;  H वृद्धि वृद्धि NP NN NP9 pof VGF2 NULL  ;  U ;  NULL
H ०४ ०४ NP NNP NP4 k7t VGF2 के  ;  H क्षेत्र क्षेत्र NP NN NP5 r6 NP6 की  ;  U ;  NULL
H योजनाओं योजना NP NN NP6 rt VGF2 के  ;  H वृद्धि वृद्धि NP NN NP9 pof VGF2 NULL  ;  U ;  NULL
H योजनाओं योजना NP NN NP6 rt VGF2 के  ;  H आबंटित आबंटित JJP JJ JJP nmod NP7 NULL  ;  U ;  NULL
H रकम रकम NP NN NP7 k7 VGF2 में  ;  H ०३ ०३ NP NNP NP8 k2u VGF2 के  ;  U ;  NULL
H ०३ ०३ NP NNP NP8 k2u VGF2 के  ;  H वृद्धि वृद्धि NP NN NP9 pof VGF2 NULL  ;  U ;  NULL
H आबंटित आबंटित JJP JJ JJP nmod NP7 NULL  ;  H की कर VGF VM VGF2 ccof CCP NULL  ;  U ;  NULL
H क्षेत्र क्षेत्र NP NN NP5 r6 NP6 की  ;  H की कर VGF VM VGF2 ccof CCP NULL  ;  U ;  NULL
H की कर VGF VM VGF2 ccof CCP NULL  ;  H । । BLK SYM BLK rsym VGF NULL  ;  U ;  NULL
H वृद्धि वृद्धि NP NN NP9 pof VGF2 NULL  ;  H । । BLK SYM BLK rsym VGF NULL  ;  U ;  NULL
H सर्वेक्षण सर्वेक्षण NP NN NP k7 VGF में  ;  H । । BLK SYM BLK rsym VGF NULL  ;  U ;  NULL
H बात बात NP NN NP2 r6 NP3 का  ;  H । । BLK SYM BLK rsym VGF NULL  ;  U ;  NULL
ROOT  ;  H की कर VGF VM VGF2 ccof CCP NULL  ;  U ;  NULL
ROOT  ;  H वृद्धि वृद्धि NP NN NP9 pof VGF2 NULL  ;  U ;  NULL
ROOT  ;  H सर्वेक्षण सर्वेक्षण NP NN NP k7 VGF में  ;  U ;  NULL
ROOT  ;  H बात बात NP NN NP2 r6 NP3 का  ;  U ;  NULL
H सर्वेक्षण सर्वेक्षण NP NN NP nmod NP2 NULL ; H ०४ ०४ NP NNP NP2 k7 VGF में ; R ; nmod 
H ०४ ०४ NP NNP NP2 k7 VGF में ; H कहा कह VGF VM VGF NULL ROOT NULL ; R ; k7 
ROOT ; H कहा कह VGF VM VGF NULL ROOT NULL ; L ; ROOT 
H कहा कह VGF VM VGF NULL ROOT NULL ; H कि कि CCP CC CCP k2 VGF NULL ; L ; k2 
H १९८६ १९८६ NP NNP NP3 k7a VGF2 के ; H की कर VGF VM VGF2 ccof CCP2 NULL ; R ; k7a 
H निरक्षरता निरक्षरता NP NN NP4 k2 VGNN को ; H करने कर VGNN VM VGNN rt VGF2 हेतु ; R ; k2 
H तरह तरह NP NN NP5 adv VGNN से ; H करने कर VGNN VM VGNN rt VGF2 हेतु ; R ; adv 
H समाप्त समाप्त JJP JJ JJP pof VGNN NULL ; H करने कर VGNN VM VGNN rt VGF2 हेतु ; R ; pof 
H करने कर VGNN VM VGNN rt VGF2 हेतु ; H की कर VGF VM VGF2 ccof CCP2 NULL ; R ; rt 
H रूपरेखा रूपरेखा NP NN NP6 k2 VGF2 NULL ; H की कर VGF VM VGF2 ccof CCP2 NULL ; R ; k2 
H तैयार तैयार JJP JJ JJP2 pof VGF2 NULL ; H की कर VGF VM VGF2 ccof CCP2 NULL ; R ; pof 
H की कर VGF VM VGF2 ccof CCP2 NULL ; H और और CCP CC CCP2 ccof CCP NULL ; R ; ccof 
H कि कि CCP CC CCP k2 VGF NULL ; H और और CCP CC CCP2 ccof CCP NULL ; L ; ccof 
H उत्पाद उत्पाद NP NN NP7 r6 NP8 के ; H फीसदी फीसदी NP NN NP8 r6 NP9 की ; R ; r6 
H फीसदी फीसदी NP NN NP8 r6 NP9 की ; H दर दर NP NN NP9 k3 VGF3 से ; R ; r6 
H दर दर NP NN NP9 k3 VGF3 से ; H किया कर VGF VM VGF3 ccof CCP2 NULL ; R ; k3 
H शिक्षा शिक्षा NP NN NP10 k7 VGNN2 पर ; H करने कर VGNN VM VGNN2 r6 NP12 का ; R ; k7 
H खर्च खर्च NP NN NP11 pof VGNN2 NULL ; H करने कर VGNN VM VGNN2 r6 NP12 का ; R ; pof 
H करने कर VGNN VM VGNN2 r6 NP12 का ; H लक्ष्य लक्ष्य NP NN NP12 k2 VGF3 NULL ; R ; r6 
H लक्ष्य लक्ष्य NP NN NP12 k2 VGF3 NULL ; H किया कर VGF VM VGF3 ccof CCP2 NULL ; R ; k2 
H निर्धारित निर्धारित JJP JJ JJP3 pof VGF3 NULL ; H किया कर VGF VM VGF3 ccof CCP2 NULL ; R ; pof 
H और और CCP CC CCP2 ccof CCP NULL ; H किया कर VGF VM VGF3 ccof CCP2 NULL ; L ; ccof 
H कहा कह VGF VM VGF NULL ROOT NULL ; H । । BLK SYM BLK rsym VGF NULL ; L ; rsym 
H सर्वेक्षण सर्वेक्षण NP NN NP nmod NP2 NULL  ;  H कहा कह VGF VM VGF NULL ROOT NULL  ;  U ;  NULL
H १९८६ १९८६ NP NNP NP3 k7a VGF2 के  ;  H तैयार तैयार JJP JJ JJP2 pof VGF2 NULL  ;  U ;  NULL
H १९८६ १९८६ NP NNP NP3 k7a VGF2 के  ;  H निरक्षरता निरक्षरता NP NN NP4 k2 VGNN को  ;  U ;  NULL
H निरक्षरता निरक्षरता NP NN NP4 k2 VGNN को  ;  H तरह तरह NP NN NP5 adv VGNN से  ;  U ;  NULL
H तरह तरह NP NN NP5 adv VGNN से  ;  H समाप्त समाप्त JJP JJ JJP pof VGNN NULL  ;  U ;  NULL
H करने कर VGNN VM VGNN rt VGF2 हेतु  ;  H रूपरेखा रूपरेखा NP NN NP6 k2 VGF2 NULL  ;  U ;  NULL
H रूपरेखा रूपरेखा NP NN NP6 k2 VGF2 NULL  ;  H तैयार तैयार JJP JJ JJP2 pof VGF2 NULL  ;  U ;  NULL
H १९८६ १९८६ NP NNP NP3 k7a VGF2 के  ;  H और और CCP CC CCP2 ccof CCP NULL  ;  U ;  NULL
H तैयार तैयार JJP JJ JJP2 pof VGF2 NULL  ;  H और और CCP CC CCP2 ccof CCP NULL  ;  U ;  NULL
H दर दर NP NN NP9 k3 VGF3 से  ;  H निर्धारित निर्धारित JJP JJ JJP3 pof VGF3 NULL  ;  U ;  NULL
H दर दर NP NN NP9 k3 VGF3 से  ;  H शिक्षा शिक्षा NP NN NP10 k7 VGNN2 पर  ;  U ;  NULL
H शिक्षा शिक्षा NP NN NP10 k7 VGNN2 पर  ;  H खर्च खर्च NP NN NP11 pof VGNN2 NULL  ;  U ;  NULL
H लक्ष्य लक्ष्य NP NN NP12 k2 VGF3 NULL  ;  H निर्धारित निर्धारित JJP JJ JJP3 pof VGF3 NULL  ;  U ;  NULL
H उत्पाद उत्पाद NP NN NP7 r6 NP8 के  ;  H किया कर VGF VM VGF3 ccof CCP2 NULL  ;  U ;  NULL
H करने कर VGNN VM VGNN2 r6 NP12 का  ;  H किया कर VGF VM VGF3 ccof CCP2 NULL  ;  U ;  NULL
H किया कर VGF VM VGF3 ccof CCP2 NULL  ;  H । । BLK SYM BLK rsym VGF NULL  ;  U ;  NULL
H निर्धारित निर्धारित JJP JJ JJP3 pof VGF3 NULL  ;  H । । BLK SYM BLK rsym VGF NULL  ;  U ;  NULL
H सर्वेक्षण सर्वेक्षण NP NN NP nmod NP2 NULL  ;  H । । BLK SYM BLK rsym VGF NULL  ;  U ;  NULL
H ०४ ०४ NP NNP NP2 k7 VGF में  ;  H । । BLK SYM BLK rsym VGF NULL  ;  U ;  NULL
ROOT  ;  H किया कर VGF VM VGF3 ccof CCP2 NULL  ;  U ;  NULL
ROOT  ;  H निर्धारित निर्धारित JJP JJ JJP3 pof VGF3 NULL  ;  U ;  NULL
ROOT  ;  H सर्वेक्षण सर्वेक्षण NP NN NP nmod NP2 NULL  ;  U ;  NULL
ROOT  ;  H ०४ ०४ NP NNP NP2 k7 VGF में  ;  U ;  NULL
H सर्वेक्षण सर्वेक्षण NP NN NP k7t VGF के ; H आए आ VGF VM VGF NULL ROOT NULL ; R ; k7t 
H पहलू पहलू NP NN NP2 k1 VGF NULL ; H आए आ VGF VM VGF NULL ROOT NULL ; R ; k1 
H सामने सामने NP NST NP3 k7 VGF NULL ; H आए आ VGF VM VGF NULL ROOT NULL ; R ; k7 
ROOT ; H आए आ VGF VM VGF NULL ROOT NULL ; L ; ROOT 
H आए आ VGF VM VGF NULL ROOT NULL ; H । । BLK SYM BLK rsym VGF NULL ; L ; rsym 
H सर्वेक्षण सर्वेक्षण NP NN NP k7t VGF के  ;  H पहलू पहलू NP NN NP2 k1 VGF NULL  ;  U ;  NULL
H पहलू पहलू NP NN NP2 k1 VGF NULL  ;  H सामने सामने NP NST NP3 k7 VGF NULL  ;  U ;  NULL
H सामने सामने NP NST NP3 k7 VGF NULL  ;  H । । BLK SYM BLK rsym VGF NULL  ;  U ;  NULL
H पहलू पहलू NP NN NP2 k1 VGF NULL  ;  H । । BLK SYM BLK rsym VGF NULL  ;  U ;  NULL
H सर्वेक्षण सर्वेक्षण NP NN NP k7t VGF के  ;  H । । BLK SYM BLK rsym VGF NULL  ;  U ;  NULL
ROOT  ;  H सामने सामने NP NST NP3 k7 VGF NULL  ;  U ;  NULL
ROOT  ;  H पहलू पहलू NP NN NP2 k1 VGF NULL  ;  U ;  NULL
ROOT  ;  H सर्वेक्षण सर्वेक्षण NP NN NP k7t VGF के  ;  U ;  NULL
H बार बार NP NN NP k7t VGF NULL ; H हुई हो VGF VM VGF ccof CCP NULL ; R ; k7t 
H वृद्धि वृद्धि NP NN NP2 k7 VGF की ; H हुई हो VGF VM VGF ccof CCP NULL ; R ; k7 
H साक्षरता साक्षरता NP NN NP3 k7 VGF में ; H हुई हो VGF VM VGF ccof CCP NULL ; R ; k7 
H वृद्धि वृद्धि NP NN NP4 k1 VGF NULL ; H हुई हो VGF VM VGF ccof CCP NULL ; R ; k1 
H हुई हो VGF VM VGF ccof CCP NULL ; H और और CCP CC CCP NULL ROOT NULL ; R ; ccof 
ROOT ; H और और CCP CC CCP NULL ROOT NULL ; L ; ROOT 
H लोगों लोग NP NN NP5 r6 NP6 की ; H संख्या संख्या NP NN NP6 k1 VGF2 NULL ; R ; r6 
H संख्या संख्या NP NN NP6 k1 VGF2 NULL ; H घटने घट VGF VM VGF2 ccof CCP NULL ; R ; k1 
H और और CCP CC CCP NULL ROOT NULL ; H घटने घट VGF VM VGF2 ccof CCP NULL ; L ; ccof 
H और और CCP CC CCP NULL ROOT NULL ; H । । BLK SYM BLK rsym CCP NULL ; L ; rsym 
H बार बार NP NN NP k7t VGF NULL  ;  H वृद्धि वृद्धि NP NN NP4 k1 VGF NULL  ;  U ;  NULL
H बार बार NP NN NP k7t VGF NULL  ;  H वृद्धि वृद्धि NP NN NP2 k7 VGF की  ;  U ;  NULL
H वृद्धि वृद्धि NP NN NP2 k7 VGF की  ;  H साक्षरता साक्षरता NP NN NP3 k7 VGF में  ;  U ;  NULL
H साक्षरता साक्षरता NP NN NP3 k7 VGF में  ;  H वृद्धि वृद्धि NP NN NP4 k1 VGF NULL  ;  U ;  NULL
H वृद्धि वृद्धि NP NN NP4 k1 VGF NULL  ;  H और और CCP CC CCP NULL ROOT NULL  ;  U ;  NULL
H साक्षरता साक्षरता NP NN NP3 k7 VGF में  ;  H और और CCP CC CCP NULL ROOT NULL  ;  U ;  NULL
H बार बार NP NN NP k7t VGF NULL  ;  H और और CCP CC CCP NULL ROOT NULL  ;  U ;  NULL
H वृद्धि वृद्धि NP NN NP2 k7 VGF की  ;  H और और CCP CC CCP NULL ROOT NULL  ;  U ;  NULL
H घटने घट VGF VM VGF2 ccof CCP NULL  ;  H । । BLK SYM BLK rsym CCP NULL  ;  U ;  NULL
H संख्या संख्या NP NN NP6 k1 VGF2 NULL  ;  H । । BLK SYM BLK rsym CCP NULL  ;  U ;  NULL
H बार बार NP NN NP k7t VGF NULL  ;  H । । BLK SYM BLK rsym CCP NULL  ;  U ;  NULL
H वृद्धि वृद्धि NP NN NP2 k7 VGF की  ;  H । । BLK SYM BLK rsym CCP NULL  ;  U ;  NULL
ROOT  ;  H घटने घट VGF VM VGF2 ccof CCP NULL  ;  U ;  NULL
ROOT  ;  H संख्या संख्या NP NN NP6 k1 VGF2 NULL  ;  U ;  NULL
ROOT  ;  H बार बार NP NN NP k7t VGF NULL  ;  U ;  NULL
ROOT  ;  H वृद्धि वृद्धि NP NN NP2 k7 VGF की  ;  U ;  NULL
H २००० २००० NP NNP NP k7t VGF के ; H हुई हो VGF VM VGF ccof CCP NULL ; R ; k7t 
H लोगों लोग NP NN NP2 r6 NP3 की ; H संख्या संख्या NP NN NP3 k7 VGF में ; R ; r6 
H संख्या संख्या NP NN NP3 k7 VGF में ; H हुई हो VGF VM VGF ccof CCP NULL ; R ; k7 
H फीसदी फीसदी NP NN NP4 r6 NP5 की ; H दर दर NP NN NP5 k3 VGF से ; R ; r6 
H दर दर NP NN NP5 k3 VGF से ; H हुई हो VGF VM VGF ccof CCP NULL ; R ; k3 
H वृद्धि वृद्धि NP NN NP6 k1 VGF NULL ; H हुई हो VGF VM VGF ccof CCP NULL ; R ; k1 
H हुई हो VGF VM VGF ccof CCP NULL ; H जबकि जबकि CCP CC CCP NULL ROOT NULL ; R ; ccof 
ROOT ; H जबकि जबकि CCP CC CCP NULL ROOT NULL ; L ; ROOT 
H अवधि अवधि NP NN NP7 k7t VGF2 के ; H हुई हो VGF VM VGF2 ccof CCP NULL ; R ; k7t 
H साक्षरता साक्षरता NP NN NP8 k7 VGF2 में ; H हुई हो VGF VM VGF2 ccof CCP NULL ; R ; k7 
H फीसदी फीसदी NP NN NP9 r6 NP10 की ; H रफ्तार रफ्तार NP NN NP10 rh VGF2 से ; R ; r6 
H रफ्तार रफ्तार NP NN NP10 rh VGF2 से ; H हुई हो VGF VM VGF2 ccof CCP NULL ; R ; rh 
H बढ़त बढ़त NP NN NP11 k1 VGF2 NULL ; H हुई हो VGF VM VGF2 ccof CCP NULL ; R ; k1 
H जबकि जबकि CCP CC CCP NULL ROOT NULL ; H हुई हो VGF VM VGF2 ccof CCP NULL ; L ; ccof 
H जबकि जबकि CCP CC CCP NULL ROOT NULL ; H । । BLK SYM BLK rsym CCP NULL ; L ; rsym 
H २००० २००० NP NNP NP k7t VGF के  ;  H वृद्धि वृद्धि NP NN NP6 k1 VGF NULL  ;  U ;  NULL
H २००० २००० NP NNP NP k7t VGF के  ;  H लोगों लोग NP NN NP2 r6 NP3 की  ;  U ;  NULL
H संख्या संख्या NP NN NP3 k7 VGF में  ;  H वृद्धि वृद्धि NP NN NP6 k1 VGF NULL  ;  U ;  NULL
H संख्या संख्या NP NN NP3 k7 VGF में  ;  H फीसदी फीसदी NP NN NP4 r6 NP5 की  ;  U ;  NULL
H दर दर NP NN NP5 k3 VGF से  ;  H वृद्धि वृद्धि NP NN NP6 k1 VGF NULL  ;  U ;  NULL
H वृद्धि वृद्धि NP NN NP6 k1 VGF NULL  ;  H जबकि जबकि CCP CC CCP NULL ROOT NULL  ;  U ;  NULL
H दर दर NP NN NP5 k3 VGF से  ;  H जबकि जबकि CCP CC CCP NULL ROOT NULL  ;  U ;  NULL
H २००० २००० NP NNP NP k7t VGF के  ;  H जबकि जबकि CCP CC CCP NULL ROOT NULL  ;  U ;  NULL
H लोगों लोग NP NN NP2 r6 NP3 की  ;  H जबकि जबकि CCP CC CCP NULL ROOT NULL  ;  U ;  NULL
H अवधि अवधि NP NN NP7 k7t VGF2 के  ;  H बढ़त बढ़त NP NN NP11 k1 VGF2 NULL  ;  U ;  NULL
H अवधि अवधि NP NN NP7 k7t VGF2 के  ;  H साक्षरता साक्षरता NP NN NP8 k7 VGF2 में  ;  U ;  NULL
H साक्षरता साक्षरता NP NN NP8 k7 VGF2 में  ;  H बढ़त बढ़त NP NN NP11 k1 VGF2 NULL  ;  U ;  NULL
H साक्षरता साक्षरता NP NN NP8 k7 VGF2 में  ;  H फीसदी फीसदी NP NN NP9 r6 NP10 की  ;  U ;  NULL
H रफ्तार रफ्तार NP NN NP10 rh VGF2 से  ;  H बढ़त बढ़त NP NN NP11 k1 VGF2 NULL  ;  U ;  NULL
H फीसदी फीसदी NP NN NP9 r6 NP10 की  ;  H हुई हो VGF VM VGF2 ccof CCP NULL  ;  U ;  NULL
